,subject,set,pattern,visible_complexity_rating,imagined_complexity_rating,rtime,trial,LSC,intricacy,num_colours,num_revealed,underlying_LSC,underlying_intricacy
227,2opm0e80,2,103,51,52,7794,48,0.9571239785965506,123,3,75,0.8434276513958406,126.0
228,2opm0e80,2,71,92,93,7032,49,0.2387749878406579,129,3,17,0.3375488009445939,621.0
229,2opm0e80,2,72,71,71,7372,50,0.4394454839150852,19,3,8,0.961979984373074,37.0
230,2opm0e80,2,58,19,20,6832,51,0.1047651647070256,6,3,3,0.916858816679865,28.0
231,2opm0e80,2,57,89,88,7285,52,0.9566962770626366,134,2,81,0.9566962770626366,134.0
232,2opm0e80,2,100,83,83,6855,53,0.8821299826107337,68,3,23,0.8253869309445139,41.0
233,2opm0e80,2,99,97,96,7942,54,0.8629008547411311,69,3,44,0.971016706825666,108.0
234,2opm0e80,2,95,78,77,8042,55,0.8112967213065888,52,3,41,0.8986092320669834,78.0
235,2opm0e80,2,70,53,55,5882,56,0.4108983617670244,12,3,30,0.6866368918045108,27.0
236,2opm0e80,2,69,85,85,6606,57,0.3867239593159077,25,3,13,0.9633856455933564,64.0
237,2opm0e80,2,85,50,51,7170,58,0.7200837345528227,15,3,45,0.9085637425139398,12.0
238,2opm0e80,2,62,19,21,7386,59,0.2438849935631821,9,3,5,0.1179472434569747,7.0
239,2opm0e80,2,55,97,95,6753,60,0.3709748019792861,17,2,81,0.3709748019792861,17.0
240,3fbsrbfp,2,74,40,53,11319,1,0.5124044325730495,7,3,21,0.347287799177756,2.0
241,3fbsrbfp,2,66,24,32,7422,2,0.3348875451841893,9,3,10,0.8325060520687275,70.0
242,3fbsrbfp,2,59,19,24,6722,3,0.1590837955813729,11,3,3,0.9662936750968476,64.0
243,3fbsrbfp,2,105,54,71,7433,4,1.097774230811072,89,3,32,0.9297137410864044,113.0
244,3fbsrbfp,2,79,42,45,7389,5,0.6063491251349904,26,3,16,0.9668164998304252,98.0
245,3fbsrbfp,2,83,33,32,9848,6,0.6421850319325081,19,3,27,0.916858816679865,28.0
246,3fbsrbfp,2,98,68,70,7522,7,0.9062850759227804,30,3,44,0.8820969625736855,30.0
247,3fbsrbfp,2,76,55,66,8136,8,0.4913445462137542,25,3,15,0.8573276323656119,39.0
248,3fbsrbfp,2,67,20,22,9103,9,0.3908410421433057,6,2,12,0.0218120056481487,5.0
249,3fbsrbfp,2,101,40,57,5234,10,0.9110266386095636,66,3,22,0.9297137410864044,113.0
250,3fbsrbfp,2,75,45,60,8403,11,0.4801126847380468,31,3,20,0.7973260104912844,32.0
251,3fbsrbfp,2,103,58,59,8134,12,0.9571239785965506,123,3,75,0.8434276513958406,126.0
252,3fbsrbfp,2,55,31,34,7107,13,0.3709748019792861,17,2,81,0.3709748019792861,17.0
253,3fbsrbfp,2,70,30,36,10250,14,0.4108983617670244,12,3,30,0.6866368918045108,27.0
254,3fbsrbfp,2,84,45,51,13021,15,0.6457072882550682,37,3,23,0.8134343165694118,62.0
255,3fbsrbfp,2,69,41,44,7472,16,0.3867239593159077,25,3,13,0.9633856455933564,64.0
256,3fbsrbfp,2,62,7,15,7078,17,0.2438849935631821,9,3,5,0.1179472434569747,7.0
257,3fbsrbfp,2,82,25,23,6581,18,0.6144556771986371,35,3,23,0.1503843675749793,26.0
258,3fbsrbfp,2,80,20,24,8827,19,0.6047254368348421,28,3,18,0.7540329631872313,74.0
259,3fbsrbfp,2,91,67,66,7391,20,0.7950905573931756,28,3,78,0.6866368918045108,27.0
260,3fbsrbfp,2,60,17,23,6378,21,0.1803364021292067,9,3,3,0.9668164998304252,98.0
261,3fbsrbfp,2,57,80,81,8583,22,0.9566962770626366,134,2,81,0.9566962770626366,134.0
262,3fbsrbfp,2,90,38,43,7574,23,0.7255347631242008,38,3,21,0.7266153533971146,106.0
263,3fbsrbfp,2,93,82,86,8022,24,0.7015074435312239,104,3,47,0.9365506107841312,177.0
264,3fbsrbfp,2,88,76,76,6159,25,0.7269959505736927,22,3,37,0.916858816679865,28.0
265,3fbsrbfp,2,96,84,84,10362,26,0.8724228209098117,25,3,58,0.6866368918045108,27.0
266,3fbsrbfp,2,62,11,18,9273,27,0.2438849935631821,9,3,5,0.1179472434569747,7.0
267,3fbsrbfp,2,100,48,60,6633,28,0.8821299826107337,68,3,23,0.8253869309445139,41.0
268,3fbsrbfp,2,71,74,83,6919,29,0.2387749878406579,129,3,17,0.3375488009445939,621.0
269,3fbsrbfp,2,78,25,23,6508,30,0.6109854054102395,11,3,32,0.0218120056481487,5.0
270,3fbsrbfp,2,104,40,45,10340,31,1.0807989491290677,71,3,33,0.846994161972378,84.0
271,3fbsrbfp,2,63,31,50,5886,32,0.2621302066272348,22,3,11,0.9765683593847632,112.0
