,patternname,patternnum,set,LSC,intricacy,num_colours,num_revealed,underlying_LSC,underlying_intricacy
75,patterns/complexity-extended/experiment/set2/031.376.png,76,2,0.4913445462137542,25,3,15,0.8573276323656119,39.0
76,patterns/complexity-extended/experiment/set2/032.022.png,77,2,0.5006900072129126,26,3,11,0.7266153533971146,106.0
77,patterns/complexity-extended/experiment/set2/037.209.png,78,2,0.6109854054102395,11,3,32,0.0218120056481487,5.0
78,patterns/complexity-extended/experiment/set2/038.300.png,79,2,0.6063491251349904,26,3,16,0.9668164998304252,98.0
79,patterns/complexity-extended/experiment/set2/038.385.png,80,2,0.6047254368348421,28,3,18,0.7540329631872313,74.0
80,patterns/complexity-extended/experiment/set2/038.587.png,81,2,0.606596208639326,29,3,12,0.7861743337667199,48.0
81,patterns/complexity-extended/experiment/set2/039.601.png,82,2,0.6144556771986371,35,3,23,0.1503843675749793,26.0
82,patterns/complexity-extended/experiment/set2/039.791.png,83,2,0.6421850319325081,19,3,27,0.916858816679865,28.0
83,patterns/complexity-extended/experiment/set2/041.639.png,84,2,0.6457072882550682,37,3,23,0.8134343165694118,62.0
84,patterns/complexity-extended/experiment/set2/044.055.png,85,2,0.7200837345528227,15,3,45,0.9085637425139398,12.0
85,patterns/complexity-extended/experiment/set2/044.149.png,86,2,0.6833524476814347,40,3,25,0.9748770128126518,94.0
86,patterns/complexity-extended/experiment/set2/044.564.png,87,2,0.6964658621109567,36,3,21,0.8559935464734297,29.0
87,patterns/complexity-extended/experiment/set2/045.103.png,88,2,0.7269959505736927,22,3,37,0.916858816679865,28.0
88,patterns/complexity-extended/experiment/set2/046.292.png,89,2,0.7194268972075625,40,3,35,0.946626538265491,63.0
89,patterns/complexity-extended/experiment/set2/046.473.png,90,2,0.7255347631242008,38,3,21,0.7266153533971146,106.0
90,patterns/complexity-extended/experiment/set2/049.695.png,91,2,0.7950905573931756,28,3,78,0.6866368918045108,27.0
91,patterns/complexity-extended/experiment/set2/050.556.png,92,2,0.7804751118505173,47,3,36,0.7861743337667199,48.0
92,patterns/complexity-extended/experiment/set2/051.055.png,93,2,0.7015074435312239,104,3,47,0.9365506107841312,177.0
93,patterns/complexity-extended/experiment/set2/051.831.png,94,2,0.8218508360546457,34,3,50,0.7973260104912844,32.0
94,patterns/complexity-extended/experiment/set2/052.843.png,95,2,0.8112967213065888,52,3,41,0.8986092320669834,78.0
95,patterns/complexity-extended/experiment/set2/054.016.png,96,2,0.8724228209098117,25,3,58,0.6866368918045108,27.0
96,patterns/complexity-extended/experiment/set2/056.442.png,97,2,0.9285807695435256,15,3,64,0.436944813114559,3.0
97,patterns/complexity-extended/experiment/set2/056.483.png,98,2,0.9062850759227804,30,3,44,0.8820969625736855,30.0
