Subject,grid_id,pattern_id,click_id,positionx,positiony,underlying_LSC,underlying_intricacy,current_LSC,current_intricacy,avg_LSC,avg_intricacy,current_change_in_LSC,current_change_in_intricacy,avg_change_in_LSC,avg_change_in_intricacy,time_taken,change_in_pos,clicks_to_go,move_on
1,23,66,81,25,1,0.714319788998292,186,0.0208846350099157,131.1,0.013814459785268,65.41975308641975,0.0018438590731907,1.5,0.0002610579376239,1.6387499999999997,0,3.0,0,0
1,24,70,81,2,25,0.960681764435038,87,0.1539317244200709,-39.1,0.0800839451724708,-17.765432098765434,-0.0022601607226888,-1.1999999999999886,0.0019241465552508,-0.4887499999999999,0,3.0,0,0
1,25,68,81,3,24,0.8624831416622412,147,0.3075801166619732,106.7,0.1462002433742019,53.90617283950617,0.0043491496461934,0.2999999999999971,0.0038447514582746,1.33375,1,11.180339887498947,0,0
1,26,69,81,25,1,0.9021786191903493,86,0.2617789565357041,28.6,0.0943265144422361,11.609876543209875,0.0044979698964865,2.200000000000003,0.0032722369566963,0.3575,1,3.0,0,0
1,27,67,81,1,25,0.8310435124812716,19,0.0846127301301988,-34.4,0.0383332945182805,-14.811111111111112,0.0002757457345503,-0.6999999999999957,0.0010576591266274,-0.43,1,3.0,0,0
1,28,65,81,1,16,0.4456277592261113,18,-0.2101470256578936,-45.8,-0.110795532147726,-23.635802469135804,-0.0051926521798797,-0.0999999999999943,-0.0026268378207236,-0.5725,1,4.0,0,0
2,1,50,42,7,19,0.1836646302863872,10,-0.1603644159842721,-37.9,-0.0892072060236353,-18.571428571428573,-0.0054937142013917,-0.2999999999999971,-0.0039113272191285,-0.924390243902439,0,4.0,0,1
2,2,54,81,25,24,0.9662936750968476,64,0.2986502022287219,21.4,0.1485786176942342,20.6567901234568,0.0021209519019252,-0.3999999999999986,0.003733127527859,0.2674999999999999,0,3.0,0,0
2,3,55,81,24,23,0.9717596220077628,103,0.1285558756545725,-52.69999999999999,0.0510906744426414,-26.230864197530863,0.0036756427019737,0.0,0.0016069484456821,-0.6587499999999998,0,2.23606797749979,0,0
2,4,56,81,16,25,0.9767150258463972,98,0.4482282675775489,50.7,0.2233151954099311,28.85925925925925,0.0051998700677207,-0.3999999999999986,0.0056028533447193,0.63375,1,2.0,0,0
2,5,52,68,25,1,0.8986092320669834,78,0.1886279999848249,42.9,0.0861931647110903,19.661764705882355,-0.0014491526261968,-1.6000000000000014,0.0028153432833555,0.6402985074626866,1,34.655446902326915,0,1
2,6,51,81,1,5,0.5366913127546721,30,-0.1752483353410771,-22.6,-0.1110358289775282,-24.025925925925925,0.0133753167250472,0.6000000000000014,-0.0021906041917634,-0.2825,0,5.0,0,0
2,7,53,69,4,15,0.9566962770626366,134,0.1174429185035959,57.6,0.0581945679520833,20.80869565217391,0.0018714531569101,0.2999999999999971,0.0017271017426999,0.8470588235294116,0,3.1622776601683795,0,1
2,8,92,38,2,7,0.4331344620558702,14,-0.0399581856418435,-28.1,-0.0143425811599129,-12.43421052631579,-0.0060662604095964,-1.3999999999999986,-0.001079950963293,-0.7594594594594595,1,16.0,0,1
2,9,96,81,4,1,0.9217867638198928,45,0.2958860726963218,15.6,0.1579391551691829,7.367901234567902,0.0070148540312843,1.400000000000002,0.003698575908704,195,1,2.23606797749979,0,0
2,10,95,69,14,19,0.8915946922244556,36,0.0564001154357316,-26.599999999999994,0.0225103351441526,-16.005797101449275,0.0034738126333626,0.4000000000000057,0.0008294134622901,-0.3911764705882352,1,9.219544457292889,0,1
2,11,98,44,25,1,0.9724226038193264,146,0.1109943169592864,40.3,0.0510090882286986,20.286363636363635,0.0038208418976692,1.5999999999999943,0.0025812631850996,0.9372093023255812,1,21.0,0,1
2,12,93,34,8,0,0.7266153533971146,106,-0.007091834723274,-0.2999999999999971,-0.013576067425311,-4.079411764705884,-0.0028398022412791,0.0,-0.0002149040825234,-0.009090909090909,0,8.06225774829855,0,1
2,13,97,53,19,10,0.9479751547424754,47,0.0968487475885913,-6.099999999999994,0.0539703207976945,3.316981132075472,0.0032397244216904,-0.5,0.0018624759151652,-0.1173076923076922,0,3.0,0,1
2,14,94,40,22,16,0.8253869309445139,41,0.0423886093776315,25.8,0.0231283303734971,16.825,-0.0003919412636299,-0.7999999999999972,0.0010868874199392,0.6615384615384615,0,5.830951894845301,0,1
2,15,31,42,21,7,0.4102956940145065,13,-0.1740123660592456,-66.8,-0.0893253150048499,-35.35476190476191,-0.0072910533292044,-1.899999999999992,-0.0042442040502255,-1.6292682926829267,0,5.656854249492381,0,1
2,16,29,52,13,13,0.2562120544062412,29,-0.201046010944893,-21.700000000000003,-0.125030688998632,-16.96153846153846,-0.0066726516326454,-0.6000000000000085,-0.0039420786459782,-0.4254901960784314,1,12.041594578792296,0,1
2,17,34,62,4,11,0.9297137410864044,113,0.0109462552128576,23.200000000000003,0.0042730128941645,7.419354838709677,5.53257594950729e-05,0.7000000000000028,0.0001794468067681,0.380327868852459,1,3.0,0,1
2,18,33,52,15,4,0.8795074704481886,45,0.1400538954077504,0.2000000000000028,0.0552671639530318,-7.728846153846154,0.0068563489421438,2.200000000000003,0.0027461548119166,0.003921568627451,0,4.242640687119285,0,1
2,19,32,39,17,13,0.7861743337667199,48,0.0042180314195241,-45.2,0.004842301112328,-21.4,-0.0042256735376722,0.0,0.0001110008268295,-1.1894736842105265,1,4.0,0,1
2,20,35,25,24,8,0.9729319506742444,90,0.0652908004035454,17.799999999999997,0.0347519081599617,8.328,0.0027012027041936,0.3999999999999986,0.0027204500168143,0.7416666666666666,0,5.385164807134504,0,1
2,21,30,30,21,13,0.3726122402818334,114,-0.0398263426599216,64.6,-0.0225119994708321,34.07,-0.0058171110741622,-1.4000000000000057,-0.0013733221606869,2.2275862068965515,1,4.47213595499958,0,1
